[Curriculum 3 Type 0 Episode 20]	avg rewards : 10.000,	avg loss: : nan,	buffer size : 107,	epsilon : 19.4% 
[Curriculum 3 Type 0 Episode 40]	avg rewards : 5.714,	avg loss: : nan,	buffer size : 234,	epsilon : 18.8% 
[Curriculum 3 Type 0 Episode 60]	avg rewards : 6.585,	avg loss: : nan,	buffer size : 361,	epsilon : 18.3% 
[Curriculum 3 Type 0 Episode 80]	avg rewards : 5.902,	avg loss: : nan,	buffer size : 458,	epsilon : 17.8% 
[Curriculum 3 Type 0 Episode 100]	avg rewards : 6.173,	avg loss: : nan,	buffer size : 552,	epsilon : 17.3% 
[Curriculum 3 Type 0 Episode 120]	avg rewards : 6.535,	avg loss: : nan,	buffer size : 672,	epsilon : 16.8% 
[Curriculum 3 Type 0 Episode 140]	avg rewards : 6.694,	avg loss: : nan,	buffer size : 783,	epsilon : 16.3% 
[Curriculum 3 Type 0 Episode 160]	avg rewards : 6.596,	avg loss: : nan,	buffer size : 877,	epsilon : 15.9% 
[Curriculum 3 Type 0 Episode 180]	avg rewards : 6.832,	avg loss: : nan,	buffer size : 974,	epsilon : 15.5% 
[Curriculum 3 Type 0 Episode 200]	avg rewards : 6.740,	avg loss: : nan,	buffer size : 1089,	epsilon : 15.1% 
[Curriculum 3 Type 0 Episode 220]	avg rewards : 6.766,	avg loss: : 0.043533,	buffer size : 1184,	epsilon : 14.7% 
[Curriculum 3 Type 0 Episode 240]	avg rewards : 6.878,	avg loss: : 0.027961,	buffer size : 1300,	epsilon : 14.3% 
[Curriculum 3 Type 0 Episode 260]	avg rewards : 6.846,	avg loss: : 0.023201,	buffer size : 1403,	epsilon : 13.9% 
[Curriculum 3 Type 0 Episode 280]	avg rewards : 6.935,	avg loss: : 0.020518,	buffer size : 1501,	epsilon : 13.6% 
[Curriculum 3 Type 0 Episode 300]	avg rewards : 6.975,	avg loss: : 0.018441,	buffer size : 1606,	epsilon : 13.2% 
[Curriculum 3 Type 0 Episode 320]	avg rewards : 6.910,	avg loss: : 0.019177,	buffer size : 1703,	epsilon : 12.9% 
[Curriculum 3 Type 0 Episode 340]	avg rewards : 6.885,	avg loss: : 0.019364,	buffer size : 1793,	epsilon : 12.6% 
[Curriculum 3 Type 0 Episode 360]	avg rewards : 6.979,	avg loss: : 0.018260,	buffer size : 1906,	epsilon : 12.3% 
[Curriculum 3 Type 0 Episode 380]	avg rewards : 6.981,	avg loss: : 0.017261,	buffer size : 2018,	epsilon : 12.0% 
[Curriculum 3 Type 0 Episode 400]	avg rewards : 6.955,	avg loss: : 0.016801,	buffer size : 2112,	epsilon : 11.7% 
[Curriculum 3 Type 0 Episode 420]	avg rewards : 7.057,	avg loss: : 0.016112,	buffer size : 2214,	epsilon : 11.5% 
[Curriculum 3 Type 0 Episode 440]	avg rewards : 7.031,	avg loss: : 0.015639,	buffer size : 2332,	epsilon : 11.2% 
[Curriculum 3 Type 0 Episode 460]	avg rewards : 7.098,	avg loss: : 0.015096,	buffer size : 2424,	epsilon : 11.0% 
[Curriculum 3 Type 0 Episode 480]	avg rewards : 7.115,	avg loss: : 0.014549,	buffer size : 2525,	epsilon : 10.7% 
[Curriculum 3 Type 0 Episode 500]	avg rewards : 7.173,	avg loss: : 0.014780,	buffer size : 2656,	epsilon : 10.5% 
[Curriculum 3 Type 0 Episode 520]	avg rewards : 7.146,	avg loss: : 0.015451,	buffer size : 2768,	epsilon : 10.3% 
[Curriculum 3 Type 0 Episode 540]	avg rewards : 7.140,	avg loss: : 0.015673,	buffer size : 2876,	epsilon : 10.1% 
[Curriculum 3 Type 0 Episode 560]	avg rewards : 7.172,	avg loss: : 0.015719,	buffer size : 2993,	epsilon : 9.9% 
[Curriculum 3 Type 0 Episode 580]	avg rewards : 7.184,	avg loss: : 0.015693,	buffer size : 3098,	epsilon : 9.7% 
[Curriculum 3 Type 0 Episode 600]	avg rewards : 7.143,	avg loss: : 0.015760,	buffer size : 3213,	epsilon : 9.5% 
[Curriculum 3 Type 0 Episode 620]	avg rewards : 7.138,	avg loss: : 0.015697,	buffer size : 3323,	epsilon : 9.3% 
[Curriculum 3 Type 0 Episode 640]	avg rewards : 7.085,	avg loss: : 0.015778,	buffer size : 3411,	epsilon : 9.2% 
[Curriculum 3 Type 0 Episode 660]	avg rewards : 7.114,	avg loss: : 0.015736,	buffer size : 3494,	epsilon : 9.0% 
[Curriculum 3 Type 0 Episode 680]	avg rewards : 7.141,	avg loss: : 0.015530,	buffer size : 3605,	epsilon : 8.8% 
[Curriculum 3 Type 0 Episode 700]	avg rewards : 7.122,	avg loss: : 0.015354,	buffer size : 3714,	epsilon : 8.7% 
[Curriculum 3 Type 0 Episode 720]	avg rewards : 7.118,	avg loss: : 0.015174,	buffer size : 3813,	epsilon : 8.6% 
[Curriculum 3 Type 0 Episode 740]	avg rewards : 7.143,	avg loss: : 0.015077,	buffer size : 3909,	epsilon : 8.4% 
[Curriculum 3 Type 0 Episode 760]	avg rewards : 7.139,	avg loss: : 0.014981,	buffer size : 3984,	epsilon : 8.3% 
[Curriculum 3 Type 0 Episode 780]	avg rewards : 7.122,	avg loss: : 0.014812,	buffer size : 4091,	epsilon : 8.2% 
[Curriculum 3 Type 0 Episode 800]	avg rewards : 7.157,	avg loss: : 0.014725,	buffer size : 4185,	epsilon : 8.0% 
[Curriculum 3 Type 0 Episode 820]	avg rewards : 7.191,	avg loss: : 0.014641,	buffer size : 4310,	epsilon : 7.9% 
[Curriculum 3 Type 0 Episode 840]	avg rewards : 7.211,	avg loss: : 0.014612,	buffer size : 4403,	epsilon : 7.8% 
[Curriculum 3 Type 0 Episode 860]	avg rewards : 7.182,	avg loss: : 0.014549,	buffer size : 4484,	epsilon : 7.7% 
[Curriculum 3 Type 0 Episode 880]	avg rewards : 7.154,	avg loss: : 0.014557,	buffer size : 4581,	epsilon : 7.6% 
[Curriculum 3 Type 0 Episode 900]	avg rewards : 7.128,	avg loss: : 0.014642,	buffer size : 4668,	epsilon : 7.5% 
[Curriculum 3 Type 0 Episode 920]	avg rewards : 7.181,	avg loss: : 0.014645,	buffer size : 4798,	epsilon : 7.4% 
[Curriculum 3 Type 0 Episode 940]	avg rewards : 7.199,	avg loss: : 0.014605,	buffer size : 4897,	epsilon : 7.3% 
[Curriculum 3 Type 0 Episode 960]	avg rewards : 7.216,	avg loss: : 0.014562,	buffer size : 4984,	epsilon : 7.2% 
[Curriculum 3 Type 0 Episode 980]	avg rewards : 7.253,	avg loss: : 0.014540,	buffer size : 5086,	epsilon : 7.1% 
[Curriculum 3 Type 0 Episode 1000]	avg rewards : 7.278,	avg loss: : 0.014472,	buffer size : 5188,	epsilon : 7.0% 
[Curriculum 3 Type 0 Episode 1020]	avg rewards : 7.283,	avg loss: : 0.014481,	buffer size : 5314,	epsilon : 7.0% 
[Curriculum 3 Type 0 Episode 1040]	avg rewards : 7.277,	avg loss: : 0.014485,	buffer size : 5435,	epsilon : 6.9% 
[Curriculum 3 Type 0 Episode 1060]	avg rewards : 7.243,	avg loss: : 0.014647,	buffer size : 5537,	epsilon : 6.8% 
[Curriculum 3 Type 0 Episode 1080]	avg rewards : 7.248,	avg loss: : 0.014785,	buffer size : 5642,	epsilon : 6.7% 
[Curriculum 3 Type 0 Episode 1100]	avg rewards : 7.253,	avg loss: : 0.014906,	buffer size : 5762,	epsilon : 6.7% 
[Curriculum 3 Type 0 Episode 1120]	avg rewards : 7.302,	avg loss: : 0.014892,	buffer size : 5876,	epsilon : 6.6% 
[Curriculum 3 Type 0 Episode 1140]	avg rewards : 7.306,	avg loss: : 0.014875,	buffer size : 5973,	epsilon : 6.5% 
[Curriculum 3 Type 0 Episode 1160]	avg rewards : 7.292,	avg loss: : 0.014888,	buffer size : 6056,	epsilon : 6.5% 
[Curriculum 3 Type 0 Episode 1180]	avg rewards : 7.321,	avg loss: : 0.014864,	buffer size : 6173,	epsilon : 6.4% 
[Curriculum 3 Type 0 Episode 1200]	avg rewards : 7.290,	avg loss: : 0.014868,	buffer size : 6267,	epsilon : 6.4% 
[Curriculum 3 Type 0 Episode 1220]	avg rewards : 7.302,	avg loss: : 0.014872,	buffer size : 6382,	epsilon : 6.3% 
[Curriculum 3 Type 0 Episode 1240]	avg rewards : 7.314,	avg loss: : 0.014819,	buffer size : 6488,	epsilon : 6.3% 
[Curriculum 3 Type 0 Episode 1260]	avg rewards : 7.341,	avg loss: : 0.014822,	buffer size : 6595,	epsilon : 6.2% 
[Curriculum 3 Type 0 Episode 1280]	avg rewards : 7.328,	avg loss: : 0.014870,	buffer size : 6700,	epsilon : 6.2% 
[Curriculum 3 Type 0 Episode 1300]	avg rewards : 7.361,	avg loss: : 0.014885,	buffer size : 6822,	epsilon : 6.1% 
[Curriculum 3 Type 0 Episode 1320]	avg rewards : 7.379,	avg loss: : 0.014907,	buffer size : 6928,	epsilon : 6.1% 
[Curriculum 3 Type 0 Episode 1340]	avg rewards : 7.388,	avg loss: : 0.014875,	buffer size : 7017,	epsilon : 6.0% 
[Curriculum 3 Type 0 Episode 1360]	avg rewards : 7.375,	avg loss: : 0.014879,	buffer size : 7130,	epsilon : 6.0% 
[Curriculum 3 Type 0 Episode 1380]	avg rewards : 7.355,	avg loss: : 0.014920,	buffer size : 7205,	epsilon : 5.9% 
[Curriculum 3 Type 0 Episode 1400]	avg rewards : 7.350,	avg loss: : 0.015046,	buffer size : 7316,	epsilon : 5.9% 
[Curriculum 3 Type 0 Episode 1420]	avg rewards : 7.345,	avg loss: : 0.015156,	buffer size : 7417,	epsilon : 5.9% 
[Curriculum 3 Type 0 Episode 1440]	avg rewards : 7.368,	avg loss: : 0.015239,	buffer size : 7528,	epsilon : 5.8% 
[Curriculum 3 Type 0 Episode 1460]	avg rewards : 7.356,	avg loss: : 0.015272,	buffer size : 7647,	epsilon : 5.8% 
[Curriculum 3 Type 0 Episode 1480]	avg rewards : 7.372,	avg loss: : 0.015270,	buffer size : 7769,	epsilon : 5.8% 
[Curriculum 3 Type 0 Episode 1500]	avg rewards : 7.367,	avg loss: : 0.015281,	buffer size : 7873,	epsilon : 5.7% 
[Curriculum 3 Type 0 Episode 1520]	avg rewards : 7.355,	avg loss: : 0.015275,	buffer size : 7979,	epsilon : 5.7% 
[Curriculum 3 Type 0 Episode 1540]	avg rewards : 7.357,	avg loss: : 0.015306,	buffer size : 8079,	epsilon : 5.7% 
