[Curriculum 1 Type 0 Episode 20]	avg rewards : 10.000,	avg loss: : nan,	buffer size : 33,	epsilon : 49.0% 
[Curriculum 1 Type 0 Episode 40]	avg rewards : 8.857,	avg loss: : nan,	buffer size : 60,	epsilon : 48.1% 
[Curriculum 1 Type 0 Episode 60]	avg rewards : 8.683,	avg loss: : nan,	buffer size : 90,	epsilon : 47.1% 
[Curriculum 1 Type 0 Episode 80]	avg rewards : 8.623,	avg loss: : nan,	buffer size : 128,	epsilon : 46.2% 
[Curriculum 1 Type 0 Episode 100]	avg rewards : 8.247,	avg loss: : nan,	buffer size : 156,	epsilon : 45.3% 
[Curriculum 1 Type 0 Episode 120]	avg rewards : 7.921,	avg loss: : nan,	buffer size : 188,	epsilon : 44.5% 
[Curriculum 1 Type 0 Episode 140]	avg rewards : 7.785,	avg loss: : nan,	buffer size : 219,	epsilon : 43.6% 
[Curriculum 1 Type 0 Episode 160]	avg rewards : 8.014,	avg loss: : nan,	buffer size : 247,	epsilon : 42.8% 
[Curriculum 1 Type 0 Episode 180]	avg rewards : 7.826,	avg loss: : nan,	buffer size : 272,	epsilon : 41.9% 
[Curriculum 1 Type 0 Episode 200]	avg rewards : 7.867,	avg loss: : nan,	buffer size : 296,	epsilon : 41.1% 
[Curriculum 1 Type 0 Episode 220]	avg rewards : 7.970,	avg loss: : nan,	buffer size : 326,	epsilon : 40.3% 
[Curriculum 1 Type 0 Episode 240]	avg rewards : 8.100,	avg loss: : nan,	buffer size : 353,	epsilon : 39.5% 
[Curriculum 1 Type 0 Episode 260]	avg rewards : 8.066,	avg loss: : nan,	buffer size : 386,	epsilon : 38.8% 
[Curriculum 1 Type 0 Episode 280]	avg rewards : 8.123,	avg loss: : nan,	buffer size : 412,	epsilon : 38.0% 
[Curriculum 1 Type 0 Episode 300]	avg rewards : 8.093,	avg loss: : nan,	buffer size : 443,	epsilon : 37.3% 
[Curriculum 1 Type 0 Episode 320]	avg rewards : 7.980,	avg loss: : nan,	buffer size : 469,	epsilon : 36.6% 
[Curriculum 1 Type 0 Episode 340]	avg rewards : 8.000,	avg loss: : nan,	buffer size : 499,	epsilon : 35.9% 
[Curriculum 1 Type 0 Episode 360]	avg rewards : 8.018,	avg loss: : nan,	buffer size : 528,	epsilon : 35.2% 
[Curriculum 1 Type 0 Episode 380]	avg rewards : 7.978,	avg loss: : nan,	buffer size : 556,	epsilon : 34.5% 
[Curriculum 1 Type 0 Episode 400]	avg rewards : 7.969,	avg loss: : nan,	buffer size : 583,	epsilon : 33.8% 
[Curriculum 1 Type 0 Episode 420]	avg rewards : 7.980,	avg loss: : nan,	buffer size : 609,	epsilon : 33.2% 
[Curriculum 1 Type 0 Episode 440]	avg rewards : 8.048,	avg loss: : nan,	buffer size : 634,	epsilon : 32.6% 
[Curriculum 1 Type 0 Episode 460]	avg rewards : 8.032,	avg loss: : nan,	buffer size : 665,	epsilon : 31.9% 
[Curriculum 1 Type 0 Episode 480]	avg rewards : 7.939,	avg loss: : nan,	buffer size : 692,	epsilon : 31.3% 
[Curriculum 1 Type 0 Episode 500]	avg rewards : 7.979,	avg loss: : nan,	buffer size : 717,	epsilon : 30.7% 
[Curriculum 1 Type 0 Episode 520]	avg rewards : 7.896,	avg loss: : nan,	buffer size : 745,	epsilon : 30.1% 
[Curriculum 1 Type 0 Episode 540]	avg rewards : 7.846,	avg loss: : nan,	buffer size : 773,	epsilon : 29.6% 
[Curriculum 1 Type 0 Episode 560]	avg rewards : 7.860,	avg loss: : nan,	buffer size : 798,	epsilon : 29.0% 
[Curriculum 1 Type 0 Episode 580]	avg rewards : 7.832,	avg loss: : nan,	buffer size : 824,	epsilon : 28.4% 
[Curriculum 1 Type 0 Episode 600]	avg rewards : 7.866,	avg loss: : nan,	buffer size : 848,	epsilon : 27.9% 
[Curriculum 1 Type 0 Episode 620]	avg rewards : 7.860,	avg loss: : nan,	buffer size : 879,	epsilon : 27.4% 
[Curriculum 1 Type 0 Episode 640]	avg rewards : 7.852,	avg loss: : nan,	buffer size : 906,	epsilon : 26.8% 
[Curriculum 1 Type 0 Episode 660]	avg rewards : 7.881,	avg loss: : nan,	buffer size : 929,	epsilon : 26.3% 
[Curriculum 1 Type 0 Episode 680]	avg rewards : 7.873,	avg loss: : nan,	buffer size : 954,	epsilon : 25.8% 
[Curriculum 1 Type 0 Episode 700]	avg rewards : 7.853,	avg loss: : nan,	buffer size : 987,	epsilon : 25.3% 
[Curriculum 1 Type 0 Episode 720]	avg rewards : 7.866,	avg loss: : nan,	buffer size : 1015,	epsilon : 24.9% 
[Curriculum 1 Type 0 Episode 740]	avg rewards : 7.864,	avg loss: : nan,	buffer size : 1045,	epsilon : 24.4% 
[Curriculum 1 Type 0 Episode 760]	avg rewards : 7.873,	avg loss: : nan,	buffer size : 1069,	epsilon : 23.9% 
[Curriculum 1 Type 0 Episode 780]	avg rewards : 7.874,	avg loss: : nan,	buffer size : 1102,	epsilon : 23.5% 
[Curriculum 1 Type 0 Episode 800]	avg rewards : 7.867,	avg loss: : nan,	buffer size : 1122,	epsilon : 23.0% 
[Curriculum 1 Type 0 Episode 820]	avg rewards : 7.878,	avg loss: : nan,	buffer size : 1154,	epsilon : 22.6% 
[Curriculum 1 Type 0 Episode 840]	avg rewards : 7.888,	avg loss: : nan,	buffer size : 1179,	epsilon : 22.2% 
[Curriculum 1 Type 0 Episode 860]	avg rewards : 7.881,	avg loss: : nan,	buffer size : 1204,	epsilon : 21.7% 
[Curriculum 1 Type 0 Episode 880]	avg rewards : 7.902,	avg loss: : nan,	buffer size : 1229,	epsilon : 21.3% 
[Curriculum 1 Type 0 Episode 900]	avg rewards : 7.911,	avg loss: : nan,	buffer size : 1257,	epsilon : 20.9% 
[Curriculum 1 Type 0 Episode 920]	avg rewards : 7.880,	avg loss: : nan,	buffer size : 1281,	epsilon : 20.5% 
[Curriculum 1 Type 0 Episode 940]	avg rewards : 7.887,	avg loss: : nan,	buffer size : 1310,	epsilon : 20.1% 
[Curriculum 1 Type 0 Episode 960]	avg rewards : 7.906,	avg loss: : nan,	buffer size : 1335,	epsilon : 19.8% 
[Curriculum 1 Type 0 Episode 980]	avg rewards : 7.938,	avg loss: : nan,	buffer size : 1363,	epsilon : 19.4% 
[Curriculum 1 Type 0 Episode 1000]	avg rewards : 7.955,	avg loss: : nan,	buffer size : 1390,	epsilon : 19.0% 
[Curriculum 1 Type 0 Episode 1020]	avg rewards : 7.964,	avg loss: : nan,	buffer size : 1418,	epsilon : 18.7% 
[Curriculum 1 Type 0 Episode 1040]	avg rewards : 7.969,	avg loss: : nan,	buffer size : 1443,	epsilon : 18.3% 
[Curriculum 1 Type 0 Episode 1060]	avg rewards : 7.985,	avg loss: : nan,	buffer size : 1469,	epsilon : 18.0% 
[Curriculum 1 Type 0 Episode 1080]	avg rewards : 7.977,	avg loss: : nan,	buffer size : 1492,	epsilon : 17.6% 
[Curriculum 1 Type 0 Episode 1100]	avg rewards : 7.970,	avg loss: : nan,	buffer size : 1514,	epsilon : 17.3% 
[Curriculum 1 Type 0 Episode 1120]	avg rewards : 7.955,	avg loss: : nan,	buffer size : 1539,	epsilon : 17.0% 
[Curriculum 1 Type 0 Episode 1140]	avg rewards : 7.959,	avg loss: : nan,	buffer size : 1562,	epsilon : 16.7% 
