[Curriculum 10 Type 3 Episode 100]	avg rewards : -2.000,	avg loss: : nan,	buffer size : 3371,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 50]	avg rewards : -2.000,	avg loss: : nan,	buffer size : 1248,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 100]	avg rewards : 0.902,	avg loss: : nan,	buffer size : 2189,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 150]	avg rewards : 0.851,	avg loss: : 0.421853,	buffer size : 3566,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 200]	avg rewards : 1.166,	avg loss: : 0.387669,	buffer size : 5064,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 250]	avg rewards : 1.493,	avg loss: : 0.379821,	buffer size : 6656,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 300]	avg rewards : 1.705,	avg loss: : 0.371352,	buffer size : 8218,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 350]	avg rewards : 2.033,	avg loss: : 0.362875,	buffer size : 9925,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 400]	avg rewards : 2.279,	avg loss: : 0.353509,	buffer size : 11684,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 450]	avg rewards : 2.304,	avg loss: : 0.344470,	buffer size : 13232,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 500]	avg rewards : 2.341,	avg loss: : 0.336565,	buffer size : 14934,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 550]	avg rewards : 2.407,	avg loss: : 0.329742,	buffer size : 16358,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 600]	avg rewards : 2.461,	avg loss: : 0.322675,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 650]	avg rewards : 2.519,	avg loss: : 0.315629,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 700]	avg rewards : 2.627,	avg loss: : 0.308576,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 750]	avg rewards : 2.682,	avg loss: : 0.301000,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 800]	avg rewards : 2.730,	avg loss: : 0.294435,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 850]	avg rewards : 2.687,	avg loss: : 0.288308,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 900]	avg rewards : 2.693,	avg loss: : 0.283646,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 950]	avg rewards : 2.644,	avg loss: : 0.279574,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 1000]	avg rewards : 2.683,	avg loss: : 0.275867,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 1050]	avg rewards : 2.727,	avg loss: : 0.272788,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 1100]	avg rewards : 2.765,	avg loss: : 0.270095,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 1150]	avg rewards : 2.723,	avg loss: : 0.267543,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 1200]	avg rewards : 2.733,	avg loss: : 0.265515,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 1250]	avg rewards : 2.719,	avg loss: : 0.263534,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 1300]	avg rewards : 2.723,	avg loss: : 0.262018,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 1350]	avg rewards : 2.741,	avg loss: : 0.260910,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 1400]	avg rewards : 2.712,	avg loss: : 0.259645,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 1450]	avg rewards : 2.685,	avg loss: : 0.258593,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 1500]	avg rewards : 2.713,	avg loss: : 0.257516,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 1550]	avg rewards : 2.736,	avg loss: : 0.256526,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 1600]	avg rewards : 2.769,	avg loss: : 0.255387,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 1650]	avg rewards : 2.771,	avg loss: : 0.254250,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 1700]	avg rewards : 2.752,	avg loss: : 0.253378,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 1750]	avg rewards : 2.760,	avg loss: : 0.252478,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 1800]	avg rewards : 2.749,	avg loss: : 0.251626,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 1850]	avg rewards : 2.707,	avg loss: : 0.250918,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 1900]	avg rewards : 2.702,	avg loss: : 0.250292,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 1950]	avg rewards : 2.702,	avg loss: : 0.249758,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 2000]	avg rewards : 2.663,	avg loss: : 0.249302,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 2050]	avg rewards : 2.674,	avg loss: : 0.248993,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 2100]	avg rewards : 2.674,	avg loss: : 0.248666,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 2150]	avg rewards : 2.658,	avg loss: : 0.248419,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 2200]	avg rewards : 2.671,	avg loss: : 0.248478,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 2250]	avg rewards : 2.671,	avg loss: : 0.248266,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 2300]	avg rewards : 2.663,	avg loss: : 0.247946,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 2350]	avg rewards : 2.637,	avg loss: : 0.247789,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 2400]	avg rewards : 2.619,	avg loss: : 0.247643,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 2450]	avg rewards : 2.591,	avg loss: : 0.247391,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 2500]	avg rewards : 2.582,	avg loss: : 0.247126,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 2550]	avg rewards : 2.585,	avg loss: : 0.246892,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 2600]	avg rewards : 2.554,	avg loss: : 0.246761,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 2650]	avg rewards : 2.558,	avg loss: : 0.246561,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 2700]	avg rewards : 2.539,	avg loss: : 0.246436,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 2750]	avg rewards : 2.529,	avg loss: : 0.246383,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 2800]	avg rewards : 2.513,	avg loss: : 0.246457,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 2850]	avg rewards : 2.531,	avg loss: : 0.246507,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 2900]	avg rewards : 2.542,	avg loss: : 0.246561,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 2950]	avg rewards : 2.547,	avg loss: : 0.246418,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 3000]	avg rewards : 2.523,	avg loss: : 0.246305,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 3050]	avg rewards : 2.522,	avg loss: : 0.246294,	buffer size : 16384,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 50]	avg rewards : -2.000,	avg loss: : nan,	buffer size : 1476,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 100]	avg rewards : 2.902,	avg loss: : nan,	buffer size : 3036,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 150]	avg rewards : 2.693,	avg loss: : 0.220252,	buffer size : 4606,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 200]	avg rewards : 2.543,	avg loss: : 0.221086,	buffer size : 6103,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 250]	avg rewards : 2.348,	avg loss: : 0.225133,	buffer size : 7521,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 300]	avg rewards : 2.255,	avg loss: : 0.228499,	buffer size : 9090,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 350]	avg rewards : 2.332,	avg loss: : 0.231319,	buffer size : 10566,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 400]	avg rewards : 2.359,	avg loss: : 0.231681,	buffer size : 12031,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 450]	avg rewards : 2.239,	avg loss: : 0.231748,	buffer size : 13639,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 500]	avg rewards : 2.271,	avg loss: : 0.233214,	buffer size : 15108,	epsilon : 10.0% 
[Curriculum 10 Type 3 Episode 550]	avg rewards : 2.224,	avg loss: : 0.234901,	buffer size : 16384,	epsilon : 10.0% 
